id,Город,Округ,Район,Улица,Дом,Общая,Жилая,Кухня,Этаж,Построен,Срок сдачи,Тип жилья,Высота потолков,Санузел,Ванная комната,Балкон/лоджия,Ремонт,Вид из окон,Площадь комнат,Отделка,Год постройки,Тип дома,Тип перекрытий,Подъезды,Лифты,Отопление,Аварийность,Парковка,Мусоропровод,Газоснабжение,Сдача комплекса,Застройщик,Класс,Кол-во корпусов,Ближайшее метро,Время до ближайшего метро,Цена
244751183,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,,"23,1 м²","8,2 м²","5,6 м²",3 из 32,,4 кв. 2023,Новостройка,"2,95 м",1 совмещенный,,,,На улицу,,"Предчистовая, черновая, чистовая",,Монолитный,,,,,,Подземная,,,Сдача в 2023—2024,Level Group,Бизнес,4 корпуса,Шелепиха, ⋅  7 мин. пешком,12 183 634 ₽
250364684,Москва,ЦАО,р-н Таганский,Славянская пл.,2/5/4с5,"35,7 м²",20 м²,,4 из 8,,4 кв. 2022,Новостройка Апартаменты,3 м,,,,,Во двор,,,,,,,,,,,,,,,,,Китай-город, ⋅  2 мин. пешком,35 730 000 ₽
240745065,Москва,ЦАО,р-н Якиманка,Софийская наб.,34,"43,2 м²",,,8 из 8,,4 кв. 2018,Новостройка Апартаменты,"3,2 м",1 совмещенный,,,,На улицу и двор,,,,,,,,,,,,,,,,,Третьяковская, ⋅  9 мин. пешком,39 687 365 ₽
260485112,Москва,ЦАО,р-н Пресненский,1-й Красногвардейский проезд,21с2,"84,6 м²",,,11 из 85,,4 кв. 2015,Новостройка Апартаменты,,,,,,,,,,,,,,,,,,,,,,,Выставочная, ⋅  1 мин. пешком,40 632 746 ₽
259898872,Москва,НАО (Новомосковский),Десеновское поселение,Ватутинки поселок,Рашен Дизайн Дистрикт жилой комплекс,"35,4 м²","10,4 м²",,3 из 13,,2022,Новостройка,"3,1 м",,,,,,,Без отделки,,Монолитно-кирпичный,,,,,,"Подземная, гостевая",,,Сдача в 2 кв. 2022,Группа Родина,Бизнес,9 корпусов,Ольховая, ⋅  17 мин. на транспорте,7 209 200 ₽
257602131,Москва,ЦАО,р-н Красносельский,Большая Спасская ул.,37,"49,9 м²","27,2 м²","8,1 м²",10 из 22,,3 кв. 2022,Новостройка,"3,25 м",,,,,,,Без отделки,,Монолитный,,,,,,"Подземная, гостевая",,,Сдача в 3 кв. 2022,Центр-Инвест,Премиум,2 корпуса,Комсомольская, ⋅  9 мин. пешком,26 109 626 ₽
254955065,Москва,ЦАО,р-н Арбат,ул. Арбат,24,"75,6 м²",,,6 из 8,,2019,Новостройка,"3,3 м",,,,,,,Без отделки,,Монолитный,,,,,,Подземная,,,Сдан,Valartis Group,Премиум,1 корпус,Арбатская, ⋅  9 мин. пешком,60 782 537 ₽
247656735,Москва,ЮАО,р-н Донской,4-й Верхний Михайловский проезд,1,30 м²,"19,5 м²","6,2 м²",3 из 13,,4 кв. 2021,Новостройка Апартаменты,3 м,1 совмещенный,,,,На улицу,,"Предчистовая, черновая, чистовая",,Монолитный,,,,,,"Подземная, гостевая",,,Сдача в 4 кв. 2021,Level Group,Бизнес,1 корпус,Шаболовская, ⋅  15 мин. пешком,14 638 971 ₽
259223317,Москва,САО,р-н Беговой,Слава жилой комплекс,,"48,2 м²",,,5 из 16,,3 кв. 2022,Новостройка Апартаменты,"3,1 м",,,,,,,Предчистовая,,Монолитный,,,,,,Подземная,,,Сдача в 3 кв. 2022,MR Group,Премиум,3 корпуса,Белорусская, ⋅  4 мин. пешком,27 499 979 ₽
256824215,Москва,ЮВАО,р-н Лефортово,Символ жилой комплекс,Искренность квартал,"38,6 м²","15,4 м²","14,8 м²",15 из 22,,1 кв. 2024,Новостройка,"3,1 м",1 совмещенный,,,,Во двор,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2024, есть сданные",ДОНСТРОЙ,Бизнес,24 корпуса,Андроновка, ⋅  5 мин. на транспорте,14 763 620 ₽
248608140,Москва,ЦАО,р-н Хамовники,Погодинская ул.,2,"63,1 м²","22,2 м²",20 м²,2 из 13,,4 кв. 2019,Новостройка,"3,5 м",1 совмещенный,,1 лоджия,,Во двор,,,,,,,,,,,,,,,,,Киевская, ⋅  13 мин. пешком,50 860 000 ₽
251202694,Москва,СЗАО,р-н Покровское-Стрешнево,Сити Бэй жилой комплекс,к8/3,40 м²,,,44 из 52,,4 кв. 2023,Новостройка,,,,,,Во двор,,Предчистовая,,Монолитный,,,,,,Подземная,,,Сдача в 2022—2023,MR Group,Бизнес,8 корпусов,Трикотажная, ⋅  16 мин. пешком,13 004 668 ₽
258470638,Москва,ЗАО,р-н Раменки,,,"45,8 м²","14,2 м²","20,9 м²",24 из 29,,2 кв. 2025,Новостройка,"3,1 м",1 совмещенный,,,,Во двор,,Чистовая,,Монолитный,,,,,,"Подземная, гостевая",,,Сдача в 2021—2024,ДОНСТРОЙ,Бизнес,5 корпусов,Мичуринский проспект, ⋅  18 мин. пешком,18 282 216 ₽
259423182,Москва,САО,р-н Хорошевский,Ленинградский просп.,37/3,"40,4 м²",,,3 из 40,,4 кв. 2021,Новостройка,"3,1 м",,,,,,,"Предчистовая, чистовая",,Монолитный,,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",Optima Development,Премиум,6 корпусов,Аэропорт, ⋅  12 мин. пешком,19 820 057 ₽
254366119,Москва,ЦАО,р-н Пресненский,Большая Садовая ул.,5к1,"64,9 м²","19,5 м²",27 м²,9 из 13,,3 кв. 2016,Новостройка Апартаменты,3 м,1 совмещенный,,,,Во двор,,,,,,,,,,,,,,,,,Маяковская, ⋅  7 мин. пешком,39 134 700 ₽
258113404,Москва,ЮВАО,р-н Южнопортовый,Волгоградский просп.,32К49,"22,7 м²",,,2 из 30,,1 кв. 2024,Новостройка Апартаменты,,,,,,Во двор,,Предчистовая,,Монолитно-кирпичный,,,,,,"Подземная, гостевая",,,Сдача в 2021—2024,MR Group,Бизнес,10 корпусов,Волгоградский проспект, ⋅  8 мин. пешком,6 746 894 ₽
236450753,Москва,НАО (Новомосковский),Родниковая ул.,,,38 м²,,,11 из 25,,1 кв. 2021,Новостройка,,,,1 лоджия,,,,,,,,,,,,,,,,,,,Саларьево, ⋅  3 мин. на транспорте,8 000 000 ₽
258580291,Москва,ВАО,р-н Богородское,Открытое ш.,,"25,24 м²","13,5 м²","5,5 м²",22 из 28,,4 кв. 2023,Новостройка,3 м,1 совмещенный,,,,На улицу,,,,,,,,,,,,,,,,,Бульвар Рокоссовского, ⋅  4 мин. пешком,8 495 784 ₽
232916226,Москва,ЮВАО,р-н Рязанский,Кварталы 21/19 жилой комплекс,к23,"38,5 м²","14,6 м²",15 м²,21 из 23,,2 кв. 2022,Новостройка,,1 совмещенный,,1 лоджия,,,,"Предчистовая, чистовая",,Монолитный,,,,,,"Подземная, отдельная многоуровневая, гостевая",,,"Сдача в 2021—2023, есть сданные",ВекторСтройФинанс,Комфорт,21 корпус,Стахановская, ⋅  2 мин. пешком,11 231 220 ₽
260543151,Москва,ЗАО,р-н Раменки,просп. Генерала Дорохова,,"47,7 м²","31,8 м²","5,5 м²",22 из 56,,2 кв. 2024,Новостройка,,,,,,,,,,,,,,,,,,,,,,,Минская, ⋅  18 мин. пешком,16 367 634 ₽
255919509,Москва,ЮЗАО,р-н Черемушки,Херсонская ул.,43к5,"49,82 м²","13,6 м²","21,3 м²",6 из 32,,2020,Новостройка,"3,1 м",1 совмещенный,,,,,,Чистовая,,Монолитный,,,,,,"Подземная, гостевая",,,Сдан,Ташир,Премиум,1 корпус,Зюзино, откроется в 2021,18 931 600 ₽
259574946,Москва,ЗАО,р-н Филевский парк,ул. Василисы Кожиной,13,"49,9 м²","13,6 м²","16,7 м²",8 из 28,,4 кв. 2019,Новостройка Апартаменты,3 м,1 совмещенный,,,,Во двор,,,,,,,,,,,,,,,,,Багратионовская, ⋅  12 мин. пешком,19 211 500 ₽
260044830,Москва,ЮЗАО,р-н Обручевский,ул. Эльдара Рязанова,4,"64,4 м²","25,7 м²","15,9 м²",16 из 20,,2 кв. 2020,Новостройка,,2 раздельных,,1 лоджия,,,,-,,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,Сдан,Ремстройтрест,Бизнес,6 корпусов,Улица Новаторов, откроется в 2022,21 821 314 ₽
255074359,Москва,ЗАО,р-н Раменки,,,"56,9 м²","14,4 м²",20 м²,7 из 12,,2 кв. 2024,Новостройка,"3,55 м",1 совмещенный,,1 лоджия,,Во двор,,Без отделки,,Монолитно-кирпичный,,,,,,Гостевая,,,Сдача в 2021—2024,ДОНСТРОЙ,Премиум,2 корпуса,Мичуринский проспект, ⋅  12 мин. пешком,37 087 590 ₽
