id,district,housing_type,house_type,house_build_date,floor_number,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
244751183,СЗАО,Новостройка,Монолитный,2023,3,23.1,8.2,5.6,Шелепиха,on foot,7,12183634
250364684,ЦАО,Новостройка,Панельный,2022,4,35.7,20.0,8.1,Китай-город,on foot,2,35730000
240745065,ЦАО,Новостройка,Панельный,2018,8,43.2,22.3,9.8,Третьяковская,on foot,9,39687365
260485112,ЦАО,Новостройка,Панельный,2015,11,84.6,43.7,19.1,Выставочная,on foot,1,40632746
259898872,НАО,Новостройка,Монолитно-кирпичный,2022,3,35.4,10.4,8.0,Ольховая,transport,17,7209200
257602131,ЦАО,Новостройка,Монолитный,2022,10,49.9,27.2,8.1,Комсомольская,on foot,9,26109626
254955065,ЦАО,Новостройка,Монолитный,2019,6,75.6,39.0,17.1,Арбатская,on foot,9,60782537
247656735,ЮАО,Новостройка,Монолитный,2021,3,30.0,19.5,6.2,Шаболовская,on foot,15,14638971
259223317,САО,Новостройка,Монолитный,2022,5,48.2,24.9,10.9,Белорусская,on foot,4,27499979
256824215,ЮВАО,Новостройка,Монолитно-кирпичный,2024,15,38.6,15.4,14.8,Андроновка,transport,5,14763620
248608140,ЦАО,Новостройка,Панельный,2019,2,63.1,22.2,20.0,Киевская,on foot,13,50860000
251202694,СЗАО,Новостройка,Монолитный,2023,44,40.0,20.6,9.0,Трикотажная,on foot,16,13004668
258470638,ЗАО,Новостройка,Монолитный,2025,24,45.8,14.2,20.9,Мичуринский проспект,on foot,18,18282216
259423182,САО,Новостройка,Монолитный,2021,3,40.4,20.9,9.1,Аэропорт,on foot,12,19820057
254366119,ЦАО,Новостройка,Панельный,2016,9,64.9,19.5,27.0,Маяковская,on foot,7,39134700
258113404,ЮВАО,Новостройка,Монолитно-кирпичный,2024,2,22.7,11.7,5.1,Волгоградский проспект,on foot,8,6746894
236450753,НАО,Новостройка,Панельный,2021,11,38.0,19.6,8.6,Саларьево,transport,3,8000000
258580291,ВАО,Новостройка,Панельный,2023,22,25.24,13.5,5.5,Бульвар Рокоссовского,on foot,4,8495784
232916226,ЮВАО,Новостройка,Монолитный,2022,21,38.5,14.6,15.0,Стахановская,on foot,2,11231220
260543151,ЗАО,Новостройка,Панельный,2024,22,47.7,31.8,5.5,Минская,on foot,18,16367634
255919509,ЮЗАО,Новостройка,Монолитный,2020,6,49.82,13.6,21.3,Зюзино,on foot,0,18931600
259574946,ЗАО,Новостройка,Панельный,2019,8,49.9,13.6,16.7,Багратионовская,on foot,12,19211500
260044830,ЮЗАО,Новостройка,Монолитно-кирпичный,2020,16,64.4,25.7,15.9,Улица Новаторов,on foot,0,21821314
255074359,ЗАО,Новостройка,Монолитно-кирпичный,2024,7,56.9,14.4,20.0,Мичуринский проспект,on foot,12,37087590
245195272,ЦАО,Новостройка,Монолитный,2021,6,83.61,16.4,42.7,Улица 1905 года,on foot,12,62714571
260302133,ЮЗАО,Новостройка,Монолитный,2021,33,32.1,13.0,11.7,Улица Скобелевская,on foot,10,7643010
259108171,ЮВАО,Новостройка,Монолитный,2022,11,31.6,14.5,9.4,Текстильщики,on foot,19,8127520
244751183,СЗАО,Новостройка,Монолитный,2023,3,23.1,8.2,5.6,Шелепиха,on foot,7,12183634
250364684,ЦАО,Новостройка,Панельный,2022,4,35.7,20.0,8.1,Китай-город,on foot,2,35730000
