id,district,house_type,house_build_date,floor_number,entrances,heating,window_view,ceiling_high,apartment_renovation,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
260257808,ЦАО,Монолитный,2010,30,4,Центральное,На улицу и двор,3.0,Дизайнерский,184.0,112.2,28.0,Деловой центр,on foot,2,90000000
250068138,САО,Панельный,2020,17,7,Индивидуальный тепловой пункт,На улицу и двор,3.0,Без ремонта,71.0,40.0,20.0,Хорошевская,on foot,12,26000000
256357878,ЗАО,Монолитный,1994,3,4,Центральное,На улицу и двор,3.0,Без ремонта,170.0,103.7,25.9,Минская,on foot,14,80000000
259624691,ЦАО,Панельный,1994,4,4,Центральное,Во двор,3.5,Без ремонта,88.9,69.5,13.5,Деловой центр,on foot,10,55500000
258851058,ЦАО,Панельный,1994,9,4,Центральное,На улицу и двор,3.2,Без ремонта,103.0,62.8,15.7,Деловой центр,on foot,12,57500000
259020345,ЦАО,Монолитно кирпичный,1994,8,4,Центральное,На улицу и двор,3.2,Без ремонта,152.0,122.0,18.0,Деловой центр,on foot,8,82990000
258603387,ЦАО,Монолитно кирпичный,1994,6,4,Центральное,Во двор,3.6,Без ремонта,165.2,129.0,20.0,Фрунзенская,on foot,11,140600000
258837488,ЦАО,Кирпичный,1959,9,4,Центральное,На улицу и двор,3.6,Без ремонта,176.2,146.0,30.1,Лужники,on foot,10,140000000
255732104,ЦАО,Монолитно кирпичный,1994,2,4,Центральное,Во двор,4.5,Без ремонта,143.4,110.0,15.0,Фрунзенская,on foot,11,133900000
250894935,ЦАО,Панельный,1957,7,4,Центральное,Во двор,3.0,Косметический,60.0,30.1,8.2,Белорусская,on foot,12,22500000
246585549,САО,Монолитный,2016,5,4,Центральное,Во двор,3.0,Без ремонта,260.0,158.5,39.6,Белорусская,on foot,8,82000000
255821535,ЦАО,Монолитный,2000,2,1,Центральное,Во двор,3.0,Без ремонта,140.0,85.4,21.3,Смоленская,transport,1,185549250
257559287,ЦАО,Панельный,1994,4,4,Центральное,На улицу и двор,3.2,Без ремонта,204.3,124.6,31.1,Александровский сад,on foot,10,158332500
255822186,ЦАО,Панельный,2008,3,10,Центральное,На улицу и двор,3.0,Без ремонта,250.0,152.4,38.1,Курская,transport,6,185549250
259006188,ЦАО,Монолитно кирпичный,1994,6,4,Центральное,На улицу и двор,3.0,Без ремонта,165.2,100.7,25.1,Фрунзенская,on foot,11,140600000
252796050,ЦАО,Монолитно кирпичный,1994,10,4,Центральное,На улицу и двор,3.0,Без ремонта,199.37,129.4,20.0,Фрунзенская,on foot,11,210000000
255525584,ЦАО,Панельный,1994,1,4,Центральное,Во двор,3.0,Дизайнерский,65.0,39.6,9.9,Серпуховская,on foot,8,31000000
252799007,ЦАО,Монолитно кирпичный,1994,10,4,Центральное,На улицу и двор,3.0,Без ремонта,199.37,129.4,20.0,Фрунзенская,on foot,11,210000000
255399156,ЗАО,Монолитно кирпичный,1994,5,4,Центральное,На улицу и двор,3.05,Без ремонта,40.2,24.5,6.1,Фили,transport,5,17150000
236709786,СЗАО,Монолитный,2014,3,4,Центральное,На улицу и двор,3.0,Косметический,42.6,26.0,6.5,Спартак,transport,4,8900000
257085584,ЦАО,Кирпичный,1994,1,4,Центральное,На улицу и двор,3.0,Косметический,19.5,11.9,3.0,Чистые пруды,on foot,10,9950000
260258610,ЮВАО,Панельный,2019,17,3,Центральное,На улицу и двор,2.74,Без ремонта,39.3,18.9,8.9,Некрасовка,on foot,19,8160100
254990676,СЗАО,Монолитно кирпичный,1994,19,4,Центральное,На улицу и двор,3.0,Дизайнерский,46.0,18.0,15.0,Шелепиха,on foot,11,25600000
257113522,САО,Монолитно кирпичный,1994,7,4,Центральное,На улицу и двор,3.0,Без ремонта,55.0,17.9,24.5,Белорусская,on foot,8,26000000
222006328,САО,Монолитно кирпичный,1994,20,4,Центральное,На улицу,3.25,Дизайнерский,55.0,33.5,8.4,Белорусская,on foot,10,30900000
258355471,ЦАО,Монолитный,2019,2,8,Центральное,Во двор,3.5,Без ремонта,63.1,22.2,20.0,Киевская,on foot,14,51000000
256152670,ЦАО,Кирпичный,1917,3,1,Центральное,На улицу,3.0,Без ремонта,43.0,14.0,15.0,Серпуховская,on foot,5,23349600
260158676,ЮЗАО,Панельный,2020,2,3,Центральное,Во двор,2.9,Евроремонт,46.2,13.4,17.2,Академическая,on foot,10,17500000
260282593,ЮВАО,Панельный,2004,5,3,Центральное,На улицу,3.0,Евроремонт,37.8,18.0,9.0,Люблино,on foot,2,9900000
258608479,САО,Монолитный,2017,9,4,Центральное,На улицу,3.0,Без ремонта,32.2,19.6,4.9,ЦСКА,on foot,10,10800000
258675034,САО,Монолитный,2017,9,4,Центральное,На улицу,3.0,Без ремонта,30.1,18.4,4.6,ЦСКА,on foot,10,10285170
